Roll_S1,Pitch_S1,Yaw_S1,Roll_S2,Pitch_S2,Yaw_S2,Roll_S3,Pitch_S3,Yaw_S3,Miscare,Time
-11.46,-77.05,-5.03,-73.96,-15.54,-26.5,-5.29,72.22,-0.05,Read_Book_Normal,1.08
-11.63,-76.61,-4.52,-74.07,-15.6,-26.5,-5.18,71.97,-0.04,Read_Book_Normal,1.1
-11.82,-77.37,-3.68,-74.39,-15.56,-26.5,-5.53,71.64,0.01,Read_Book_Normal,1.12
-11.86,-76.77,-4.06,-74.34,-15.45,-26.5,-5.66,71.55,-0.02,Read_Book_Normal,1.14
-11.89,-76.93,-3.89,-74.14,-15.48,-26.5,-5.63,71.46,-0.1,Read_Book_Normal,1.16
-11.91,-76.83,-4.37,-73.92,-15.51,-26.5,-5.45,71.35,-0.13,Read_Book_Normal,1.18
-11.94,-76.69,-4.43,-74.07,-15.53,-26.5,-5.35,71.32,-0.15,Read_Book_Normal,1.2
-11.97,-76.5,-4.3,-73.95,-15.64,-26.5,-5.24,71.26,-0.1,Read_Book_Normal,1.22
-12.08,-76.55,-3.57,-73.97,-15.7,-26.5,-5.03,71.17,-0.06,Read_Book_Normal,1.24
-12.1,-76.46,-3.42,-73.82,-15.74,-26.5,-4.82,71.14,-0.09,Read_Book_Normal,1.26
-12.17,-76.53,-3.59,-73.88,-15.82,-26.5,-4.7,71.04,-0.11,Read_Book_Normal,1.28
-12.13,-76.57,-3.94,-73.78,-15.88,-26.5,-4.51,70.99,-0.13,Read_Book_Normal,1.3
-12.14,-76.5,-4.03,-73.79,-15.92,-26.5,-4.37,70.97,-0.1,Read_Book_Normal,1.32
-12.1,-76.61,-3.92,-73.62,-15.94,-26.5,-4.31,71.01,-0.04,Read_Book_Normal,1.34
-12.16,-76.71,-3.53,-73.87,-15.9,-26.5,-4.65,71.01,0.08,Read_Book_Normal,1.36
-12.17,-76.65,-4.27,-74.17,-15.84,-26.5,-4.99,71.1,0.06,Read_Book_Normal,1.38
-12.24,-76.61,-4.23,-74.11,-15.81,-26.5,-4.96,71.13,-0.03,Read_Book_Normal,1.4
-12.21,-76.7,-4.58,-74.03,-15.79,-26.5,-5.13,71.22,-0.16,Read_Book_Normal,1.42
-12.2,-76.62,-5.48,-73.58,-15.89,-26.5,-4.9,71.29,-0.3,Read_Book_Normal,1.44
-12.09,-76.84,-5.92,-73.49,-16.05,-26.5,-4.5,71.4,-0.36,Read_Book_Normal,1.46
-12.05,-76.33,-5.62,-73.54,-16.13,-26.5,-4.12,71.44,-0.23,Read_Book_Normal,1.48
-12.23,-76.24,-4.54,-73.9,-16.13,-26.5,-4.31,71.17,-0.04,Read_Book_Normal,1.5
-12.24,-76.52,-3.53,-73.76,-16.13,-26.5,-4.27,71.05,-0.06,Read_Book_Normal,1.52
-12.19,-76.6,-3.7,-73.62,-16.08,-26.5,-4.17,71.04,-0.1,Read_Book_Normal,1.54
-12.06,-76.56,-4.04,-73.51,-16.06,-26.5,-3.95,71.16,-0.12,Read_Book_Normal,1.56
-12,-76.56,-4.04,-73.23,-16.08,-26.5,-3.68,71.19,-0.14,Read_Book_Normal,1.58
-12.03,-76.45,-4.17,-73.57,-16.16,-26.5,-3.33,71.17,-0.11,Read_Book_Normal,1.6
-12.02,-76.32,-3.88,-73.34,-16.21,-26.5,-3.26,71.11,-0.07,Read_Book_Normal,1.62
-12.04,-76.23,-3.5,-73.39,-16.31,-26.5,-3.1,70.95,-0.01,Read_Book_Normal,1.64
-12.06,-76.32,-3.39,-73.38,-16.33,-26.5,-3.01,70.92,-0.04,Read_Book_Normal,1.66
-12.07,-76.43,-3.71,-73.34,-16.34,-26.5,-3.07,70.82,-0.06,Read_Book_Normal,1.68
-12.08,-76.33,-3.97,-73.54,-16.34,-26.5,-2.99,70.76,-0.03,Read_Book_Normal,1.7
-12.09,-76.41,-4.75,-73.67,-16.27,-26.5,-3.15,70.75,0.03,Read_Book_Normal,1.72
-12.11,-76.22,-4.78,-73.45,-16.27,-26.5,-3.28,70.73,0.04,Read_Book_Normal,1.74
-12.19,-76.16,-3.97,-73.3,-16.22,-26.5,-3.53,70.71,0.01,Read_Book_Normal,1.76
-12.18,-76.57,-3.19,-73.52,-16.16,-26.5,-3.64,70.74,-0.04,Read_Book_Normal,1.78
-12.19,-76.4,-3.44,-73.44,-16.18,-26.5,-3.46,70.68,-0.12,Read_Book_Normal,1.8
-12.17,-76.21,-4.37,-73.37,-16.26,-26.5,-3.46,70.68,-0.12,Read_Book_Normal,1.82
-12.15,-76.3,-4.6,-73.15,-16.32,-26.5,-3.42,70.71,-0.07,Read_Book_Normal,1.84
-12.18,-76.45,-4.65,-73.28,-16.36,-26.5,-3.17,70.78,-0.07,Read_Book_Normal,1.86
-12.13,-76,-4.29,-72.85,-16.37,-26.5,-3.08,70.88,-0.1,Read_Book_Normal,1.88
-12.18,-76.25,-3.68,-73.07,-16.44,-26.5,-3.03,70.86,-0.08,Read_Book_Normal,1.9
-12.23,-76.14,-3.09,-73.56,-16.42,-26.5,-3.17,70.86,0.01,Read_Book_Normal,1.92
-12.25,-76.3,-2.5,-73.4,-16.39,-26.5,-3.38,70.84,0.06,Read_Book_Normal,1.94
-12.3,-76.15,-3.4,-73.34,-16.33,-26.5,-3.47,70.79,-0.03,Read_Book_Normal,1.96
-12.31,-76.29,-4.05,-73.39,-16.29,-26.5,-3.53,70.81,-0.09,Read_Book_Normal,1.98
-12.3,-76.56,-4.5,-73.47,-16.33,-26.5,-3.66,70.77,-0.06,Read_Book_Normal,2
-12.29,-76.28,-4.51,-73.41,-16.26,-26.5,-3.76,70.78,-0.05,Read_Book_Normal,2.02
-12.33,-76.07,-5.1,-73.54,-16.2,-26.5,-3.72,70.72,-0.07,Read_Book_Normal,2.04
-12.34,-76.23,-5.09,-73.09,-16.21,-26.5,-3.75,70.65,-0.09,Read_Book_Normal,2.06
-12.38,-76.06,-5.28,-73.47,-16.24,-26.5,-3.77,70.56,-0.07,Read_Book_Normal,2.08
-12.35,-76.42,-5.71,-73.49,-16.25,-26.5,-3.66,70.55,-0.08,Read_Book_Normal,2.1
-12.31,-76.3,-4.93,-73.36,-16.28,-26.5,-3.58,70.54,-0.09,Read_Book_Normal,2.12
-12.27,-76.23,-4.55,-73.62,-16.22,-26.5,-3.58,70.51,-0.07,Read_Book_Normal,2.14
-12.25,-76.38,-4.18,-73.46,-16.23,-26.5,-3.52,70.62,-0.07,Read_Book_Normal,2.16
-12.24,-76.06,-3.5,-73.81,-16.2,-26.5,-3.62,70.7,-0.07,Read_Book_Normal,2.18
-12.23,-76.16,-4.09,-73.21,-16.25,-26.5,-3.38,70.73,-0.09,Read_Book_Normal,2.2
-12.26,-76.18,-4.16,-73.33,-16.28,-26.5,-3.38,70.72,-0.07,Read_Book_Normal,2.22
-12.28,-76.16,-5.08,-73.49,-16.29,-26.5,-3.39,70.74,-0.07,Read_Book_Normal,2.24
-12.28,-76.25,-4.41,-73.43,-16.29,-26.5,-3.53,70.71,-0.07,Read_Book_Normal,2.26
-12.24,-76.01,-4.23,-73.51,-16.33,-26.5,-3.41,70.72,-0.1,Read_Book_Normal,2.28
-12.26,-76.11,-4.02,-73.37,-16.3,-26.5,-3.34,70.76,-0.12,Read_Book_Normal,2.3
-12.22,-76.1,-4.51,-73.16,-16.42,-26.5,-3.23,70.76,-0.1,Read_Book_Normal,2.32
-12.26,-76.12,-4.56,-73.15,-16.45,-26.5,-3.12,70.82,-0.07,Read_Book_Normal,2.34
-12.27,-76.19,-4.3,-73.23,-16.48,-26.5,-3.3,70.85,-0.03,Read_Book_Normal,2.36
-12.32,-75.99,-4.44,-73.31,-16.48,-26.5,-3.37,70.85,0,Read_Book_Normal,2.38
-12.34,-76.33,-4.28,-73.24,-16.45,-26.5,-3.45,70.84,-0.04,Read_Book_Normal,2.4
-12.36,-76.01,-3.53,-73.29,-16.46,-26.5,-3.52,70.73,-0.06,Read_Book_Normal,2.42
-12.4,-75.98,-2.88,-73.3,-16.43,-26.5,-3.51,70.68,-0.04,Read_Book_Normal,2.44
-12.37,-76.16,-3.75,-73.51,-16.4,-26.5,-3.5,70.65,-0.02,Read_Book_Normal,2.46
-12.33,-76.32,-5.21,-73.33,-16.35,-26.5,-3.44,70.63,-0.05,Read_Book_Normal,2.48
-12.35,-76.14,-5.25,-73.4,-16.38,-26.5,-3.37,70.6,-0.04,Read_Book_Normal,2.5
-12.36,-76.24,-4.64,-73.45,-16.38,-26.5,-3.46,70.6,-0.04,Read_Book_Normal,2.52
-12.33,-76.27,-4.65,-73.29,-16.34,-26.5,-3.33,70.6,-0.04,Read_Book_Normal,2.54
-12.35,-75.98,-4.68,-73.72,-16.34,-26.5,-3.42,70.56,0,Read_Book_Normal,2.56
-12.38,-76.07,-4.43,-73.3,-16.37,-26.5,-3.31,70.49,0.02,Read_Book_Normal,2.58
-12.41,-76.22,-3.63,-73.34,-16.37,-26.5,-3.48,70.47,0,Read_Book_Normal,2.6
-12.45,-75.75,-2.98,-73.3,-16.32,-26.5,-3.38,70.51,-0.05,Read_Book_Normal,2.62
-12.47,-75.83,-3.1,-73.28,-16.33,-26.5,-3.66,70.53,-0.06,Read_Book_Normal,2.64
-12.58,-75.94,-3.74,-73.36,-16.37,-26.5,-3.78,70.43,-0.05,Read_Book_Normal,2.66
-12.64,-75.82,-4.29,-73.43,-16.35,-26.5,-3.95,70.44,-0.04,Read_Book_Normal,2.68
-12.68,-75.89,-4.06,-73.21,-16.48,-26.5,-3.58,70.4,-0.15,Read_Book_Normal,2.7
-12.61,-75.95,-3.54,-73.21,-16.57,-26.5,-3.54,70.41,-0.08,Read_Book_Normal,2.72
-12.68,-75.93,-3.36,-73.22,-16.61,-26.5,-3.46,70.43,-0.01,Read_Book_Normal,2.74
-12.75,-75.68,-3.83,-73.14,-16.61,-26.5,-3.46,70.48,-0.08,Read_Book_Normal,2.76
-12.8,-75.27,-4.47,-73.15,-16.65,-26.5,-3.2,70.5,-0.18,Read_Book_Normal,2.78
-12.86,-76.25,-4.46,-73.06,-16.64,-26.5,-3.41,70.56,-0.18,Read_Book_Normal,2.8
-12.94,-74.75,-3.73,-73.01,-16.8,-26.5,-3.09,70.38,0.06,Read_Book_Normal,2.82
-13.17,-75.27,-3.53,-72.76,-16.83,-26.5,-3.16,70.17,0.05,Read_Book_Normal,2.84
-13.39,-74.99,-3.64,-73.09,-16.99,-26.5,-3.04,69.74,-0.02,Read_Book_Normal,2.86
-13.31,-75.55,-4.06,-73.41,-16.87,-26.5,-3.2,69.7,0.19,Read_Book_Normal,2.88
-13.3,-75.14,-4.15,-73.55,-16.63,-26.5,-4.1,69.7,0.3,Read_Book_Normal,2.9
-13.45,-74.84,-3.72,-73.68,-16.43,-26.5,-4.46,69.64,0.04,Read_Book_Normal,2.92
-13.35,-75.48,-3.57,-72.8,-16.48,-26.5,-4.43,69.65,-0.28,Read_Book_Normal,2.94
-13.22,-75.68,-3.08,-73.56,-16.56,-26.5,-4.07,69.77,-0.24,Read_Book_Normal,2.96
-13.26,-75.24,-2.65,-73.13,-16.38,-26.5,-4.38,69.75,-0.3,Read_Book_Normal,2.98
-13.2,-75.4,-3.38,-73.2,-16.6,-26.5,-3.83,69.73,-0.31,Read_Book_Normal,3
-13.35,-74.65,-3.05,-73.24,-16.76,-26.5,-3.27,69.7,-0.09,Read_Book_Normal,3.02
-13.47,-75.76,-2.45,-73.02,-16.9,-26.5,-4.11,69.58,-0.19,Read_Book_Normal,3.04
-13.43,-75.77,-3.08,-73.7,-16.75,-26.5,-4.92,69.56,-0.05,Read_Book_Normal,3.06
-13.32,-75.61,-3.84,-73.98,-16.44,-26.5,-5.38,69.79,0.03,Read_Book_Normal,3.08
-13.26,-75.58,-3.9,-73.56,-16.2,-26.5,-5.44,70.01,-0.04,Read_Book_Normal,3.1
-13.28,-75.67,-3.88,-73.5,-16.2,-26.5,-5.33,69.99,-0.12,Read_Book_Normal,3.12
-13.26,-75.62,-3.61,-73.71,-16.2,-26.5,-5.06,70.02,-0.09,Read_Book_Normal,3.14
-13.16,-76.13,-2.74,-73.78,-16.17,-26.5,-4.99,70.16,-0.04,Read_Book_Normal,3.16
-13.05,-75.73,-3.54,-73.88,-16.1,-26.5,-5.03,70.26,-0.05,Read_Book_Normal,3.18
-13.02,-75.59,-4.2,-73.68,-16.07,-26.5,-4.84,70.28,-0.09,Read_Book_Normal,3.2
-13.12,-75.45,-4.04,-73.61,-16.17,-26.5,-4.92,70.07,-0.09,Read_Book_Normal,3.22
-13.22,-75.26,-4.49,-73.69,-16.19,-26.5,-5.01,69.85,-0.1,Read_Book_Normal,3.24
-13.22,-75.79,-4.38,-73.71,-16.21,-26.5,-4.79,69.85,-0.18,Read_Book_Normal,3.26
-13.1,-75.67,-4.61,-73.25,-16.29,-26.5,-4.41,69.87,-0.18,Read_Book_Normal,3.28
-12.98,-75.63,-3.84,-73.63,-16.36,-26.5,-4.26,69.97,-0.09,Read_Book_Normal,3.3
-12.98,-75.44,-4.11,-73.64,-16.37,-26.5,-4,70.03,-0.1,Read_Book_Normal,3.32
-12.98,-75.5,-3.54,-73.39,-16.43,-26.5,-3.97,69.99,-0.06,Read_Book_Normal,3.34
-13.01,-75.54,-3.61,-73.38,-16.47,-26.5,-3.9,69.98,-0.04,Read_Book_Normal,3.36
-12.99,-75.58,-4.19,-73.26,-16.5,-26.5,-3.98,69.94,-0.03,Read_Book_Normal,3.38
-13.14,-75.4,-3.44,-73.33,-16.52,-26.5,-3.83,69.86,-0.04,Read_Book_Normal,3.4
-13.15,-75.34,-2.27,-73.4,-16.54,-26.5,-4.02,69.84,0,Read_Book_Normal,3.42
-13.22,-75.41,-2.82,-73.43,-16.57,-26.5,-4.18,69.85,-0.03,Read_Book_Normal,3.44
-13.3,-75.32,-3.19,-73.28,-16.6,-26.5,-4.28,69.83,-0.07,Read_Book_Normal,3.46
-13.33,-75.48,-3.68,-73.22,-16.65,-26.5,-4.28,69.88,-0.12,Read_Book_Normal,3.48
-13.32,-75.14,-2.91,-73.25,-16.72,-26.5,-4.11,69.85,-0.12,Read_Book_Normal,3.5
-13.44,-74.88,-2.99,-73.13,-16.79,-26.5,-3.94,69.8,-0.07,Read_Book_Normal,3.52
-13.38,-75.19,-2.75,-73.27,-16.75,-26.5,-3.98,69.77,-0.09,Read_Book_Normal,3.54
-13.33,-75.37,-2.83,-73.18,-16.74,-26.5,-3.84,69.76,-0.06,Read_Book_Normal,3.56
-13.33,-75.48,-3.65,-73.33,-16.73,-26.5,-3.86,69.71,-0.08,Read_Book_Normal,3.58
-13.28,-75.03,-3.91,-73.16,-16.71,-26.5,-3.78,69.73,-0.11,Read_Book_Normal,3.6
-13.33,-75.12,-4.03,-72.95,-16.74,-26.5,-3.74,69.65,-0.13,Read_Book_Normal,3.62
-13.32,-75.17,-4.06,-73.16,-16.76,-26.5,-3.54,69.62,-0.08,Read_Book_Normal,3.64
-13.32,-75.22,-4.13,-73.18,-16.76,-26.5,-3.39,69.59,-0.06,Read_Book_Normal,3.66
-13.28,-75.27,-4.69,-73.1,-16.77,-26.5,-3.51,69.58,-0.02,Read_Book_Normal,3.68
-13.3,-75.39,-4.85,-73.2,-16.75,-26.5,-3.54,69.61,0,Read_Book_Normal,3.7
-13.33,-75.01,-4.74,-73.21,-16.76,-26.5,-3.72,69.52,0.01,Read_Book_Normal,3.72
-13.33,-75.13,-4.65,-72.81,-16.76,-26.5,-3.89,69.5,-0.19,Read_Book_Normal,3.74
-13.28,-74.63,-4.08,-73.37,-16.63,-26.5,-3.25,69.75,-0.24,Read_Book_Normal,3.76
-13.67,-74.93,-4.23,-71.8,-17.4,-26.5,-1.93,69.34,-0.25,Read_Book_Normal,3.78
-13.58,-75.06,-3.88,-72.66,-17.6,-26.5,-1.83,69.3,0.04,Read_Book_Normal,3.8
-13.54,-74.96,-3.7,-71.8,-17.65,-26.5,-1.58,69.44,0,Read_Book_Normal,3.82
-13.6,-74.71,-3.58,-72.6,-17.67,-26.5,-1.73,69.29,-0.01,Read_Book_Normal,3.84
-13.54,-75.06,-3.54,-72.49,-17.43,-26.5,-2.11,69.42,-0.12,Read_Book_Normal,3.86
-13.33,-74.72,-4,-72.73,-17.55,-26.5,-1.79,69.45,-0.08,Read_Book_Normal,3.88
-13.37,-75,-4.74,-72.46,-17.48,-26.5,-1.1,69.64,-0.16,Read_Book_Normal,3.9
-13.25,-74.83,-3.28,-72.26,-17.84,-26.5,-1.28,69.33,-0.14,Read_Book_Normal,3.92
-13.28,-74.69,-3.26,-72.36,-17.76,-26.5,-1.19,69.3,-0.02,Read_Book_Normal,3.94
-13.26,-74.8,-3.53,-72.36,-17.71,-26.5,-1.43,69.25,0.04,Read_Book_Normal,3.96
-13.37,-74.56,-3.61,-72.32,-17.6,-26.5,-1.44,69.27,0.17,Read_Book_Normal,3.98
-13.57,-74.44,-4,-72.14,-17.61,-26.5,-1.72,69.13,0.09,Read_Book_Normal,4
-13.67,-74.28,-3.68,-72.25,-17.61,-26.5,-1.85,69.01,0.01,Read_Book_Normal,4.02
-13.63,-74.47,-3.23,-72.52,-17.55,-26.5,-1.93,69.01,-0.03,Read_Book_Normal,4.04
-13.56,-74.57,-3.13,-72.25,-17.57,-26.5,-2.05,69.15,-0.1,Read_Book_Normal,4.06
-13.71,-74.33,-4.45,-72.61,-17.65,-26.5,-2.11,69.26,-0.05,Read_Book_Normal,4.08
-13.78,-74.59,-3.97,-72.33,-17.6,-26.5,-2.5,69.27,-0.05,Read_Book_Normal,4.1
-13.74,-74.22,-3.91,-72.14,-17.66,-26.5,-2.25,69.35,-0.07,Read_Book_Normal,4.12
-13.71,-75.05,-2.7,-72.16,-17.81,-26.5,-1.99,69.32,-0.12,Read_Book_Normal,4.14
-13.69,-74.96,-2.52,-72.37,-17.71,-26.5,-2.05,69.29,0,Read_Book_Normal,4.16
-13.57,-74.9,-2.74,-72.66,-17.62,-26.5,-2.11,69.33,0.04,Read_Book_Normal,4.18
-13.56,-74.72,-2.83,-72.87,-17.36,-26.5,-2.63,69.34,0.09,Read_Book_Normal,4.2
-13.65,-74.98,-3.67,-72.65,-17.12,-26.5,-3.49,69.3,0.08,Read_Book_Normal,4.22
-13.8,-74.78,-3.08,-72.86,-17.04,-26.5,-3.79,69.21,0.05,Read_Book_Normal,4.24
-13.88,-74.67,-2.55,-72.93,-16.95,-26.5,-4,69.09,-0.01,Read_Book_Normal,4.26
-13.9,-74.79,-3.24,-72.97,-16.87,-26.5,-4.15,69.15,-0.1,Read_Book_Normal,4.28
-13.82,-74.63,-3.54,-72.97,-16.87,-26.5,-4.07,69.21,-0.14,Read_Book_Normal,4.3
-13.83,-74.46,-3.66,-73.24,-16.92,-26.5,-3.77,69.17,-0.15,Read_Book_Normal,4.32
-13.84,-74.49,-3.24,-72.66,-17.08,-26.5,-3.26,69.17,-0.15,Read_Book_Normal,4.34
-13.88,-74.39,-2.79,-72.69,-17.22,-26.5,-3.18,69.06,-0.07,Read_Book_Normal,4.36
-13.95,-74.75,-3.45,-73.07,-17.19,-26.5,-3.55,68.95,-0.01,Read_Book_Normal,4.38
-14.02,-74.59,-4.2,-72.98,-17.07,-26.5,-3.81,68.98,0.03,Read_Book_Normal,4.4
-14.1,-74.34,-3.72,-72.9,-16.96,-26.5,-4.28,69,0.02,Read_Book_Normal,4.42
-14.21,-74.44,-3.5,-73.03,-16.94,-26.5,-4.72,69.02,0.02,Read_Book_Normal,4.44
-14.21,-74.5,-3.48,-73.05,-16.85,-26.5,-4.77,69.11,-0.05,Read_Book_Normal,4.46
-14.19,-74.41,-3.68,-72.89,-16.89,-26.5,-4.7,69.24,-0.11,Read_Book_Normal,4.48
-14.22,-74.27,-3.73,-73.09,-16.94,-26.5,-4.55,69.19,-0.15,Read_Book_Normal,4.5
-14.23,-74.41,-3.37,-73.19,-17,-26.5,-4.56,69.16,-0.14,Read_Book_Normal,4.52
-14.19,-74.4,-3.3,-72.75,-16.99,-26.5,-4.36,69.16,-0.17,Read_Book_Normal,4.54
-14.12,-74.45,-3.42,-72.97,-17.02,-26.5,-4.12,69.12,-0.18,Read_Book_Normal,4.56
-14.11,-74.26,-3.89,-72.7,-17.03,-26.5,-4.14,69.01,-0.07,Read_Book_Normal,4.58
-14.24,-74.18,-3.73,-72.58,-17.08,-26.5,-4.09,68.87,-0.1,Read_Book_Normal,4.6
-14.16,-74.48,-2.67,-72.92,-17.09,-26.5,-3.94,68.82,-0.09,Read_Book_Normal,4.62
-14.04,-74.51,-2.32,-72.95,-17.06,-26.5,-3.88,68.95,-0.06,Read_Book_Normal,4.64
-14.02,-74.34,-2.89,-72.74,-17.09,-26.5,-3.74,68.96,-0.07,Read_Book_Normal,4.66
-14.02,-74.54,-3.53,-72.8,-17.07,-26.5,-3.8,68.94,-0.02,Read_Book_Normal,4.68
-13.94,-74.83,-2.74,-72.99,-17.02,-26.5,-3.95,69.05,-0.04,Read_Book_Normal,4.7
-13.92,-74.44,-3.36,-72.79,-17.02,-26.5,-3.95,69.13,-0.01,Read_Book_Normal,4.72
-13.99,-74.55,-4.21,-73.09,-16.99,-26.5,-4.21,69.09,0,Read_Book_Normal,4.74
-14.04,-74.49,-4.12,-73.25,-16.9,-26.5,-4.61,68.98,-0.13,Read_Book_Normal,4.76
-14,-74.95,-3.52,-72.99,-16.96,-26.5,-4.54,68.95,-0.1,Read_Book_Normal,4.78
